Object,Time Step,Instance ID,Coordinates,Wireless Delay,Num Users
MonitoredBaseStation_4,52,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,53,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,53,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,53,3,"[500, 0]",5.0,17
MonitoredBaseStation_4,53,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,54,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,54,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,54,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,54,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,55,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,55,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,55,3,"[500, 0]",5.0,17
MonitoredBaseStation_4,55,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,56,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,56,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,56,3,"[500, 0]",5.0,17
MonitoredBaseStation_4,56,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,57,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,57,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,57,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,57,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,58,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,58,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,58,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,58,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,59,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,59,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,59,3,"[500, 0]",5.0,17
MonitoredBaseStation_4,59,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,60,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,60,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,60,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,60,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,61,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,61,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,61,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,61,4,"[750, 0]",5.0,14
